, 4th of(event, time)
be close on(place, time)
be close to(area, city)
be close to(city, city)
be close to(city, country)
be close to(fruit, fruit)
be close to(place, city)
be close to(place, country)
be close to(town, city)
be collaborate with(agency, agency)
be combine with(crop, country)
be combine with(drug, drug)
be combine with(food, food)
be combine with(herb, herb)
be combine with(procedure, procedure)
be combine with(therapy, treatment)
be combine with(treatment, therapy)
be combine with(treatment, treatment)
be combine with(vegetable, food)
be come from(herb, country)
be come to(artist, city)
be come to(artist, country)
be come to(band, city)
be come to(band, country)
be come to(company, city)
be come to(company, country)
be come to(event, area)
be come to(event, city)
be come to(event, country)
be come to(event, place)
be come to(event, state)
be come to(game, city)
be come to(man, city)
be come to(organization, city)
be come to(product, country)
be come to(sport, city)
be commit to(company, area)
be commit to(company, factor)
be commit to(country, organization)
be commit to(leader, area)
be common during(disease, time)
be common during(disorder, time)
be common during(effect, time)
be common in(cause, country)
be common in(complication, disease)
be common in(disease, animal)
be common in(disease, area)
be common in(disease, country)
be common in(disease, destination)
be common in(disease, disease)
be common in(disease, factor)
be common in(disease, place)
be common in(disease, region)
be common in(disease, state)
be common in(disease, time)
be common in(disorder, country)
be common in(disorder, disease)
be common in(disorder, time)
be common in(effect, disease)
be common in(effect, time)
be common in(event, country)
be common in(factor, country)
be common in(factor, disease)
be common in(food, country)
be common in(illness, country)
be common in(infection, animal)
be common in(infection, country)
be common in(infection, time)
be common than(disease, disease)
be common than(disease, disorder)
be common than(disorder, disease)
be common than(disorder, disorder)
be common than(infection, infection)
be compatible with(tool, application)
be compatible with(tool, system)
be compose of(material, material)
be compose of(material, mineral)
be comprise of(organization, organization)
be concentrate in(activity, country)
be conduct at(process, factor)
be confirm in(disease, state)
be confuse with(disease, disease)
be confuse with(disease, infection)
be confuse with(disorder, disorder)
be confuse with(herb, herb)
be confuse with(infection, disease)
be confuse with(infection, infection)
be confuse with(process, process)
be connect to(city, city)
be connect to(city, place)
be connect to(country, place)
be connect to(destination, city)
be connect to(hotel, city)
be connect to(island, city)
be connect to(place, city)
be connect to(town, city)
be connect with(city, city)
be consume in(food, country)
be contest at(sport, event)
be contest in(event, event)
be contraindicate during(herb, time)
be contraindicate in(drug, time)
be contraindicate in(herb, time)
be contraindicate in(medication, time)
be contributor of(food, mineral)
be control by(city, country)
be control by(factor, hormone)
be control by(place, country)
be control by(state, country)
be controller of(vitamin, disease)
be convenient for(time, activity)
be convenient for(time, sport)
be convert into(acid, acid)
be convert into(acid, chemical)
be convert into(drug, drug)
be convert into(gas, gas)
be convert into(hormone, hormone)
be convert into(protein, product)
be convert into(protein, protein)
be convert to(acid, acid)
be convert to(acid, chemical)
be convert to(drug, drug)
be convert to(factor, protein)
be convert to(gas, gas)
be convert to(gas, substance)
be convert to(hormone, hormone)
be convert to(protein, protein)
be convert to(protein, substance)
be cook with(vegetable, food)
be correlate with(factor, factor)
be correlate with(hormone, factor)
be correlate with(hormone, hormone)
be create in(art, country)
be create in(food, country)
be create in(game, country)
be create out of(state, state)
be cultivate in(crop, country)
be cultivate in(fruit, country)
be cultivate in(herb, country)
be cultivate in(plant, country)
be cultivate in(vegetable, country)
be declare(country, disease)
be defeat in(country, event)
be defeat in(country, industry)
be defend(organization, company)
be deficiency of(disease, hormone)
be define as(disease, disease)
be define as(disease, effect)
be define as(disease, factor)
be define as(disease, measure)
be define as(disorder, effect)
be define as(factor, factor)
be define as(factor, measure)
be define as(measure, measure)
be deplete by(mineral, hormone)
be derive from(acid, acid)
be derive from(acid, crop)
be derive from(acid, food)
be derive from(acid, source)
be derive from(browser, browser)
be derive from(drug, drug)
be derive from(hormone, factor)
be derive from(hormone, substance)
be derive from(product, crop)
be derive from(protein, food)
be derive from(protein, product)
be derive from(source, crop)
be derive from(source, food)
be derive from(source, source)
be derive from(sport, sport)
be derive from(substance, source)
be derive from(substance, substance)
be design for(member, disorder)
be destroy by(city, event)
be develop(company, drug)
be develop by(drug, company)
be develop by(technology, company)
be develop in(art, country)
be develop in(crop, country)
be develop in(industry, country)
be develop in(material, country)
be develop in(product, country)
be develop in(source, country)
be develop in(sport, country)
be develop in(system, country)
be develop in(therapy, country)
be develop in(treatment, country)
be diagnose by(disease, procedure)
be diagnose during(disease, time)
be diagnose during(disorder, time)
be diagnose in(disease, animal)
be diagnose in(disease, time)
be diagnose in(disorder, time)
be diagnose in(illness, time)
be diagnose with(artist, disease)
be diagnose with(man, disease)
be diagnose with(member, disease)
be diagnose with(member, disorder)
be diagnose with(state, disease)
be different from(disease, disease)
be different from(disorder, disorder)
be different from(process, process)
be different from(service, process)
be different from(tool, process)
be different than(city, city)
be discover in(crop, country)
be discover in(disease, country)
be discover in(food, country)
be discover in(product, country)
be discover in(region, country)
be discover in(substance, country)
be distribute in(product, gas)
be divide into(country, division)
be divide into(disease, disorder)
be divide into(state, area)
be do in(agency, country)
be do in(company, country)
be do in(country, country)
be do in(country, place)
be do in(country, region)
be do in(country, state)
be do in(engine, country)
be do in(leader, country)
be do in(man, country)
be do in(organization, country)
be do in(place, country)
be domesticate in(crop, country)
be due to(infection, cause)
be eat in(crop, country)
be eat in(food, country)
be educate at(city, school)
be effective than(drug, drug)
be elect president of(leader, country)
be elect president of(man, country)
be endemic in(disease, area)
be endemic in(disease, country)
be endemic in(disease, destination)
be endemic in(disease, place)
be endemic in(disease, region)
be endemic in(disease, state)
be endemic in(illness, country)
be endemic in(infection, country)
be endemic throughout(disease, country)
be endemic to(disease, country)
be endemic to(tree, state)
be enrich with(source, acid)
be epidemic in(disease, country)
be epidemic in(disorder, country)
be epidemic in(factor, country)
